question,answer,text
" May I put a frozen bag of vegetables etc. on my body on Shabbos as it might melt from my body heat?
If the answer is yes, may I cool myself off with these packets of frozen milk knowing and benefiting from the fact that they will melt? If neither of these are acceptable,may I use a cold cloth placed in the freezer?","
1) One may handle ice packs to cool off with, since only a small amount of water is melted, there is no intention of melting them and the melted water is going to waste. Melting ice is problematic when one actively melts it, or even when no action is taken if this his intention, for example if wants to melt it save the melted water – which is not applicable in this case.
However, frozen food items like meat and vegetables should not be used since they are muktzah.
2) Since you want to melt the milk, you should not purposely use it to cool off so as to proactively melt it.
3) Cold towels that are not wet and will not become squeezed is permissible to use.","###question 
  May I put a frozen bag of vegetables etc. on my body on Shabbos as it might melt from my body heat?
If the answer is yes, may I cool myself off with these packets of frozen milk knowing and benefiting from the fact that they will melt? If neither of these are acceptable,may I use a cold cloth placed in the freezer?.
 ###answer 
 
1) One may handle ice packs to cool off with, since only a small amount of water is melted, there is no intention of melting them and the melted water is going to waste. Melting ice is problematic when one actively melts it, or even when no action is taken if this his intention, for example if wants to melt it save the melted water – which is not applicable in this case.
However, frozen food items like meat and vegetables should not be used since they are muktzah.
2) Since you want to melt the milk, you should not purposely use it to cool off so as to proactively melt it.
3) Cold towels that are not wet and will not become squeezed is permissible to use."
" Can I get a heter to be intimate with my husband during the day?
Hi, I am nine months pregnant and too tired most of the time to be intimate at night. Can I get a heter to be intimate with my husband during the day?","
According to halacha, relations must be at night or even after break of dawn until it’s light enough where people can recognize each other (misheyakir), the time when one may put on tefillin, provided it’s dark. This affects also the mazal as well as the neshama of the child born from these relations.
Ideally, you should attempt to do the same, but where this proves very difficult, and particularly in your case of pregnancy where it’s not for the purpose of conception, there is room for leniency. However, you should ensure that the room is completely dark, or at least cover yourself completely with a blanket that no light enters. If possible, one should schedule relations for Shabbos day.","###question 
  Can I get a heter to be intimate with my husband during the day?
Hi, I am nine months pregnant and too tired most of the time to be intimate at night. Can I get a heter to be intimate with my husband during the day?.
 ###answer 
 
According to halacha, relations must be at night or even after break of dawn until it’s light enough where people can recognize each other (misheyakir), the time when one may put on tefillin, provided it’s dark. This affects also the mazal as well as the neshama of the child born from these relations.
Ideally, you should attempt to do the same, but where this proves very difficult, and particularly in your case of pregnancy where it’s not for the purpose of conception, there is room for leniency. However, you should ensure that the room is completely dark, or at least cover yourself completely with a blanket that no light enters. If possible, one should schedule relations for Shabbos day."
 Were there pigs in Noah’s ark as illustrated in this children’s book?,Yes.,"###question 
  Were there pigs in Noah’s ark as illustrated in this children’s book?.
 ###answer 
 Yes."
 Can nails be cut on Friday Rosh Chodesh Av?,"One may cut their nails on Erev Shabbos during the nine days.
However this Friday is also Rosh Chodesh. See here regarding cutting nails on Rosh Chodesh:
Can/Should I cut my nails on Rosh Chodesh which falls on Erev Shabbos?
פמ”ג סתקנ”א בא”א סקי”א. משנ”ב שם סק”כ.","###question 
  Can nails be cut on Friday Rosh Chodesh Av?.
 ###answer 
 One may cut their nails on Erev Shabbos during the nine days.
However this Friday is also Rosh Chodesh. See here regarding cutting nails on Rosh Chodesh:
Can/Should I cut my nails on Rosh Chodesh which falls on Erev Shabbos?
פמ”ג סתקנ”א בא”א סקי”א. משנ”ב שם סק”כ."
 I have many boys KAH. Is it proper to pray to Hashem to be blessed with a girl?,Yes.,"###question 
  I have many boys KAH. Is it proper to pray to Hashem to be blessed with a girl?.
 ###answer 
 Yes."
 Does one need to ask a Rav before being induced? Is there any Halachic issue?,"
This matter is discussed in a number of Poskim. The general rule is that one may not induce or rush the onset of labor unless there are clear medical reasons to require it. Some of the reasons for this prohibition are because:
There is a level of risk inherent to childbirth, and one should therefore not hasten it even though it is bound to come.
The special assurance of protection Hashem provides at the time of childbirth does not necessarily apply to the same degree if the birth is hastened without a clear medical need.
The procedures and/or medicines involved in induction can themselves cause complications, and one should not take that risk needlessly.","###question 
  Does one need to ask a Rav before being induced? Is there any Halachic issue?.
 ###answer 
 
This matter is discussed in a number of Poskim. The general rule is that one may not induce or rush the onset of labor unless there are clear medical reasons to require it. Some of the reasons for this prohibition are because:
There is a level of risk inherent to childbirth, and one should therefore not hasten it even though it is bound to come.
The special assurance of protection Hashem provides at the time of childbirth does not necessarily apply to the same degree if the birth is hastened without a clear medical need.
The procedures and/or medicines involved in induction can themselves cause complications, and one should not take that risk needlessly."
 Can one bring a Sefer Torah to their son who is Bar Mitzvah for Leining in their house without Minyan on Zoom with family? No Birchas Hatorah just Leining. Friday afternoon. Has been preparing.,"One should not transfer the Sefer Torah out of it’s set place to bring to read it in a home.
There is no such an obligation to read the Torah on a Friday afternoon, similarly there is no need to do it with a Kosher Sefer Torah.
Certainly there can be other ways to share the simcha of the Bar Mitzvah boy’s simcha of joining to being obligated in the mitzvos.
Mazel Tov!
Source:
Yerushalimi (Yoma 7:1).","###question 
  Can one bring a Sefer Torah to their son who is Bar Mitzvah for Leining in their house without Minyan on Zoom with family? No Birchas Hatorah just Leining. Friday afternoon. Has been preparing..
 ###answer 
 One should not transfer the Sefer Torah out of it’s set place to bring to read it in a home.
There is no such an obligation to read the Torah on a Friday afternoon, similarly there is no need to do it with a Kosher Sefer Torah.
Certainly there can be other ways to share the simcha of the Bar Mitzvah boy’s simcha of joining to being obligated in the mitzvos.
Mazel Tov!
Source:
Yerushalimi (Yoma 7:1)."
" I had frozen raw meat that fell out of the freezer on Shabbos, is it Muktzah or may I put it back in the freezer?",It should be put back כלאחר יד – with back of hand or elbows.,"###question 
  I had frozen raw meat that fell out of the freezer on Shabbos, is it Muktzah or may I put it back in the freezer?.
 ###answer 
 It should be put back כלאחר יד – with back of hand or elbows."
" Can one take a Siddur off the shelf five minutes before Shabbos is over for Ma’ariv, or is it מכין משבת לחול?","No, unless you use it a little on Shabbos.
See also here:
What is the earliest one can Daven Maariv on Motzei Shabbos when it is the first night of Yom Tov such as Pesach this year?
שמירת שבת כהלכתה פרק כ”ח סע”ד והערה קע”ג.","###question 
  Can one take a Siddur off the shelf five minutes before Shabbos is over for Ma’ariv, or is it מכין משבת לחול?.
 ###answer 
 No, unless you use it a little on Shabbos.
See also here:
What is the earliest one can Daven Maariv on Motzei Shabbos when it is the first night of Yom Tov such as Pesach this year?
שמירת שבת כהלכתה פרק כ”ח סע”ד והערה קע”ג."
 Is there an official Chabad Minhag regarding wearing/not wearing shoes of a deceased person?,"There is no formal Chabad tradition in this matter, though to the best of my knowledge people generally are particular about this.
The only formal reference that I’m aware of is in a response of the Rebbe to a woman who wrote that her Rabbi said it was OK to wear the shoes and the Rebbe responded that some ARE particular about this matter. The Rebbe continued in his response to point out the halachic references for this opinion.","###question 
  Is there an official Chabad Minhag regarding wearing/not wearing shoes of a deceased person?.
 ###answer 
 There is no formal Chabad tradition in this matter, though to the best of my knowledge people generally are particular about this.
The only formal reference that I’m aware of is in a response of the Rebbe to a woman who wrote that her Rabbi said it was OK to wear the shoes and the Rebbe responded that some ARE particular about this matter. The Rebbe continued in his response to point out the halachic references for this opinion."
